Phần,Chương,Số điều,Tiêu đề điều,Nội dung điều,Số khoản,Nội dung khoản,Điểm,Nội dung điểm,full_text,crime_group,crime_category,intent_type,actor,victim,action,consequence,penalty_main,penalty_supplementary,aggravating_circ,mitigating_circ,condition,exception,judicial_measure
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,1.0,Nhiệm vụ của Bộ luật hình sự,"Bộ luật hình sự có nhiệm vụ bảo vệ chủ quyền quốc gia, an ninh của đất nước, bảo vệ chế độ xã hội chủ nghĩa, quyền con người, quyền công dân, bảo vệ quyền bình đẳng giữa đồng bào các dân tộc, bảo vệ lợi ích của Nhà nước, tổ chức, bảo vệ trật tự pháp luật, chống mọi hành vi phạm tội; giáo dục mọi người ý thức tuân theo pháp luật, phòng ngừa và đấu tranh chống tội phạm. Bộ luật này quy định về tội phạm và hình phạt.",,,,,"Bộ luật hình sự có nhiệm vụ bảo vệ chủ quyền quốc gia, an ninh của đất nước, bảo vệ chế độ xã hội chủ nghĩa, quyền con người, quyền công dân, bảo vệ quyền bình đẳng giữa đồng bào các dân tộc, bảo vệ lợi ích của Nhà nước, tổ chức, bảo vệ trật tự pháp luật, chống mọi hành vi phạm tội; giáo dục mọi người ý thức tuân theo pháp luật, phòng ngừa và đấu tranh chống tội phạm. Bộ luật này quy định về tội phạm và hình phạt.",ĐIỀU KHOẢN CƠ BẢN,Không xác định,Không xác định,Người,Người khác,Không xác định,Không xác định,Không xác định,,,,,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,2.0,Cơ sở của trách nhiệm hình sự,,1.0,Chỉ người nào phạm một tội đã được Bộ luật hình sự quy định mới phải chịu trách nhiệm hình sự.,,,Chỉ người nào phạm một tội đã được Bộ luật hình sự quy định mới phải chịu trách nhiệm hình sự.,ĐIỀU KHOẢN CƠ BẢN,Không xác định,Không xác định,Người,Người khác,Không xác định,Không xác định,Không xác định,,,,,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,2.0,Cơ sở của trách nhiệm hình sự,,2.0,Chỉ pháp nhân thương mại nào phạm một tội đã được quy định tại Điều 76 của Bộ luật này mới phải chịu trách nhiệm hình sự.,,,Chỉ pháp nhân thương mại nào phạm một tội đã được quy định tại Điều 76 của Bộ luật này mới phải chịu trách nhiệm hình sự.,ĐIỀU KHOẢN CƠ BẢN,Không xác định,Không xác định,Pháp nhân thương mại,Người khác,Không xác định,Không xác định,Không xác định,,,,,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3.0,Nguyên tắc xử lý,,1.0,Đối với người phạm tội:,a,"Mọi hành vi phạm tội do người thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;","Đối với người phạm tội: Mọi hành vi phạm tội do người thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;",ĐIỀU KHOẢN CƠ BẢN,Không xác định,Không xác định,Người,Người khác,Không xác định,Không xác định,Không xác định,,,,,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3.0,Nguyên tắc xử lý,,1.0,Đối với người phạm tội:,b,"Mọi người phạm tội đều bình đẳng trước pháp luật, không phân biệt giới tính, dân tộc, tín ngưỡng, tôn giáo, thành phần, địa vị xã hội;","Đối với người phạm tội: Mọi người phạm tội đều bình đẳng trước pháp luật, không phân biệt giới tính, dân tộc, tín ngưỡng, tôn giáo, thành phần, địa vị xã hội;",ĐIỀU KHOẢN CƠ BẢN,Không xác định,Không xác định,Người,Người khác,Không xác định,Không xác định,Không xác định,,,,,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3.0,Nguyên tắc xử lý,,1.0,Đối với người phạm tội:,c,"Nghiêm trị người chủ mưu, cầm đầu, chỉ huy, ngoan cố chống đối, côn đồ, tái phạm nguy hiểm, lợi dụng chức vụ, quyền hạn để phạm tội;","Đối với người phạm tội: Nghiêm trị người chủ mưu, cầm đầu, chỉ huy, ngoan cố chống đối, côn đồ, tái phạm nguy hiểm, lợi dụng chức vụ, quyền hạn để phạm tội;",ĐIỀU KHOẢN CƠ BẢN,Không xác định,Không xác định,Người có chức vụ,Người khác,Không xác định,Không xác định,Không xác định,,Tái phạm nguy hiểm; Lợi dụng chức vụ,,,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3.0,Nguyên tắc xử lý,,1.0,Đối với người phạm tội:,d,"Nghiêm trị người phạm tội dùng thủ đoạn xảo quyệt, có tổ chức, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng. Khoan hồng đối với người tự thú, đầu thú, thành khẩn khai báo, tố giác đồng phạm, lập công chuộc tội, tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, ăn năn hối cải, tự nguyện sửa chữa hoặc bồi thường thiệt hại gây ra;","Đối với người phạm tội: Nghiêm trị người phạm tội dùng thủ đoạn xảo quyệt, có tổ chức, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng. Khoan hồng đối với người tự thú, đầu thú, thành khẩn khai báo, tố giác đồng phạm, lập công chuộc tội, tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, ăn năn hối cải, tự nguyện sửa chữa hoặc bồi thường thiệt hại gây ra;",ĐIỀU KHOẢN CƠ BẢN,Không xác định,Cố ý,Người,Người khác,sửa chữa,Không xác định,Không xác định,,Tính chất chuyên nghiệp; Thủ đoạn xảo quyệt; Có tổ chức,Lập công; Tích cực hợp tác,,,Bồi thường thiệt hại
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3.0,Nguyên tắc xử lý,,1.0,Đối với người phạm tội:,đ,"Đối với người lần đầu phạm tội ít nghiêm trọng, thì có thể áp dụng hình phạt nhẹ hơn hình phạt tù, giao họ cho cơ quan, tổ chức hoặc gia đình giám sát, giáo dục;","Đối với người phạm tội: Đối với người lần đầu phạm tội ít nghiêm trọng, thì có thể áp dụng hình phạt nhẹ hơn hình phạt tù, giao họ cho cơ quan, tổ chức hoặc gia đình giám sát, giáo dục;",ĐIỀU KHOẢN CƠ BẢN,Không xác định,Không xác định,Người,Người khác,Không xác định,Không xác định,Không xác định,,,,,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3.0,Nguyên tắc xử lý,,1.0,Đối với người phạm tội:,e,"Đối với người bị phạt tù thì buộc họ phải chấp hành hình phạt tại các cơ sở giam giữ, phải lao động, học tập để trở thành người có ích cho xã hội; nếu họ có đủ điều kiện do Bộ luật này quy định, thì có thể được xét giảm thời hạn chấp hành hình phạt, tha tù trước thời hạn có điều kiện;","Đối với người phạm tội: Đối với người bị phạt tù thì buộc họ phải chấp hành hình phạt tại các cơ sở giam giữ, phải lao động, học tập để trở thành người có ích cho xã hội; nếu họ có đủ điều kiện do Bộ luật này quy định, thì có thể được xét giảm thời hạn chấp hành hình phạt, tha tù trước thời hạn có điều kiện;",ĐIỀU KHOẢN CƠ BẢN,Không xác định,Không xác định,Người,Người khác,Không xác định,Không xác định,Không xác định,,,,"họ có đủ điều kiện do Bộ luật này quy định, thì có thể được xét giảm thời hạn chấp hành hình phạt, tha tù trước thời hạn có điều kiện;",,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3.0,Nguyên tắc xử lý,,1.0,Đối với người phạm tội:,g,"Người đã chấp hành xong hình phạt được tạo điều kiện làm ăn, sinh sống lương thiện, hòa nhập với cộng đồng, khi có đủ điều kiện do luật định thì được xóa án tích.","Đối với người phạm tội: Người đã chấp hành xong hình phạt được tạo điều kiện làm ăn, sinh sống lương thiện, hòa nhập với cộng đồng, khi có đủ điều kiện do luật định thì được xóa án tích.",ĐIỀU KHOẢN CƠ BẢN,Không xác định,Không xác định,Người,Người khác,Không xác định,Không xác định,Không xác định,,,,,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3.0,Nguyên tắc xử lý,,2.0,Đối với pháp nhân thương mại phạm tội:,a,"Mọi hành vi phạm tội do pháp nhân thương mại thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;","Đối với pháp nhân thương mại phạm tội: Mọi hành vi phạm tội do pháp nhân thương mại thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;",ĐIỀU KHOẢN CƠ BẢN,Không xác định,Không xác định,Pháp nhân thương mại,Người khác,Không xác định,Không xác định,Không xác định,,,,,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3.0,Nguyên tắc xử lý,,2.0,Đối với pháp nhân thương mại phạm tội:,b,"Mọi pháp nhân thương mại phạm tội đều bình đẳng trước pháp luật, không phân biệt hình thức sở hữu và thành phần kinh tế;","Đối với pháp nhân thương mại phạm tội: Mọi pháp nhân thương mại phạm tội đều bình đẳng trước pháp luật, không phân biệt hình thức sở hữu và thành phần kinh tế;",ĐIỀU KHOẢN CƠ BẢN,Không xác định,Không xác định,Pháp nhân thương mại,Người khác,Không xác định,Không xác định,Không xác định,,,,,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3.0,Nguyên tắc xử lý,,2.0,Đối với pháp nhân thương mại phạm tội:,c,"Nghiêm trị pháp nhân thương mại phạm tội dùng thủ đoạn tinh vi, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng;","Đối với pháp nhân thương mại phạm tội: Nghiêm trị pháp nhân thương mại phạm tội dùng thủ đoạn tinh vi, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng;",ĐIỀU KHOẢN CƠ BẢN,Không xác định,Cố ý,Pháp nhân thương mại,Người khác,Không xác định,Không xác định,Không xác định,,Tính chất chuyên nghiệp,,,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3.0,Nguyên tắc xử lý,,2.0,Đối với pháp nhân thương mại phạm tội:,d,"Khoan hồng đối với pháp nhân thương mại tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, tự nguyện sửa chữa, bồi thường thiệt hại gây ra, chủ động ngăn chặn hoặc khắc phục hậu quả xảy ra.","Đối với pháp nhân thương mại phạm tội: Khoan hồng đối với pháp nhân thương mại tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, tự nguyện sửa chữa, bồi thường thiệt hại gây ra, chủ động ngăn chặn hoặc khắc phục hậu quả xảy ra.",ĐIỀU KHOẢN CƠ BẢN,Không xác định,Không xác định,Pháp nhân thương mại,Người khác,sửa chữa,Không xác định,Không xác định,,,"Tự nguyện sửa chữa, bồi thường; Tích cực hợp tác",,,Bồi thường thiệt hại
