Phần,Chương,Số điều,Tiêu đề điều,Nội dung điều,Số khoản,Nội dung khoản,Điểm,Nội dung điểm,article_id,clause_id,point_id
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,1,Nhiệm vụ của Bộ luật hình sự,"Bộ luật hình sự có nhiệm vụ bảo vệ chủ quyền quốc gia, an ninh của đất nước, bảo vệ chế độ xã hội chủ nghĩa, quyền con người, quyền công dân, bảo vệ quyền bình đẳng giữa đồng bào các dân tộc, bảo vệ lợi ích của Nhà nước, tổ chức, bảo vệ trật tự pháp luật, chống mọi hành vi phạm tội; giáo dục mọi người ý thức tuân theo pháp luật, phòng ngừa và đấu tranh chống tội phạm. Bộ luật này quy định về tội phạm và hình phạt.",,,,,1,,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,2,Cơ sở của trách nhiệm hình sự,,1.0,Chỉ người nào phạm một tội đã được Bộ luật hình sự quy định mới phải chịu trách nhiệm hình sự.,,,2,2_1.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,2,Cơ sở của trách nhiệm hình sự,,2.0,Chỉ pháp nhân thương mại nào phạm một tội đã được quy định tại Điều 76 của Bộ luật này mới phải chịu trách nhiệm hình sự.,,,2,2_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3,Nguyên tắc xử lý,,1.0,Đối với người phạm tội:,a,"Mọi hành vi phạm tội do người thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;",3,3_1.0,3_1.0_a
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3,Nguyên tắc xử lý,,1.0,Đối với người phạm tội:,b,"Mọi người phạm tội đều bình đẳng trước pháp luật, không phân biệt giới tính, dân tộc, tín ngưỡng, tôn giáo, thành phần, địa vị xã hội;",3,3_1.0,3_1.0_b
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3,Nguyên tắc xử lý,,1.0,Đối với người phạm tội:,c,"Nghiêm trị người chủ mưu, cầm đầu, chỉ huy, ngoan cố chống đối, côn đồ, tái phạm nguy hiểm, lợi dụng chức vụ, quyền hạn để phạm tội;",3,3_1.0,3_1.0_c
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3,Nguyên tắc xử lý,,1.0,Đối với người phạm tội:,d,"Nghiêm trị người phạm tội dùng thủ đoạn xảo quyệt, có tổ chức, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng. Khoan hồng đối với người tự thú, đầu thú, thành khẩn khai báo, tố giác đồng phạm, lập công chuộc tội, tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, ăn năn hối cải, tự nguyện sửa chữa hoặc bồi thường thiệt hại gây ra;",3,3_1.0,3_1.0_d
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3,Nguyên tắc xử lý,,1.0,Đối với người phạm tội:,đ,"Đối với người lần đầu phạm tội ít nghiêm trọng, thì có thể áp dụng hình phạt nhẹ hơn hình phạt tù, giao họ cho cơ quan, tổ chức hoặc gia đình giám sát, giáo dục;",3,3_1.0,3_1.0_đ
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3,Nguyên tắc xử lý,,1.0,Đối với người phạm tội:,e,"Đối với người bị phạt tù thì buộc họ phải chấp hành hình phạt tại các cơ sở giam giữ, phải lao động, học tập để trở thành người có ích cho xã hội; nếu họ có đủ điều kiện do Bộ luật này quy định, thì có thể được xét giảm thời hạn chấp hành hình phạt, tha tù trước thời hạn có điều kiện;",3,3_1.0,3_1.0_e
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3,Nguyên tắc xử lý,,1.0,Đối với người phạm tội:,g,"Người đã chấp hành xong hình phạt được tạo điều kiện làm ăn, sinh sống lương thiện, hòa nhập với cộng đồng, khi có đủ điều kiện do luật định thì được xóa án tích.",3,3_1.0,3_1.0_g
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3,Nguyên tắc xử lý,,2.0,Đối với pháp nhân thương mại phạm tội:,a,"Mọi hành vi phạm tội do pháp nhân thương mại thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;",3,3_2.0,3_2.0_a
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3,Nguyên tắc xử lý,,2.0,Đối với pháp nhân thương mại phạm tội:,b,"Mọi pháp nhân thương mại phạm tội đều bình đẳng trước pháp luật, không phân biệt hình thức sở hữu và thành phần kinh tế;",3,3_2.0,3_2.0_b
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3,Nguyên tắc xử lý,,2.0,Đối với pháp nhân thương mại phạm tội:,c,"Nghiêm trị pháp nhân thương mại phạm tội dùng thủ đoạn tinh vi, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng;",3,3_2.0,3_2.0_c
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,3,Nguyên tắc xử lý,,2.0,Đối với pháp nhân thương mại phạm tội:,d,"Khoan hồng đối với pháp nhân thương mại tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, tự nguyện sửa chữa, bồi thường thiệt hại gây ra, chủ động ngăn chặn hoặc khắc phục hậu quả xảy ra.",3,3_2.0,3_2.0_d
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,4,Trách nhiệm phòng ngừa và đấu tranh chống tội phạm,,1.0,"Cơ quan Công an, Viện kiểm sát nhân dân, Tòa án nhân dân và các cơ quan hữu quan khác có trách nhiệm thực hiện đầy đủ chức năng, nhiệm vụ, quyền hạn của mình, đồng thời hướng dẫn, giúp đỡ các cơ quan khác của Nhà nước, tổ chức, cá nhân phòng ngừa và đấu tranh chống tội phạm, giám sát và giáo dục người phạm tội tại cộng đồng.",,,4,4_1.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,4,Trách nhiệm phòng ngừa và đấu tranh chống tội phạm,,2.0,"Cơ quan, tổ chức có nhiệm vụ giáo dục những người thuộc quyền quản lý của mình nâng cao cảnh giác, ý thức bảo vệ và tuân theo pháp luật, tôn trọng các quy tắc của cuộc sống xã hội chủ nghĩa; kịp thời có biện pháp loại trừ nguyên nhân và điều kiện gây ra tội phạm trong cơ quan, tổ chức của mình.",,,4,4_2.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương I - ĐIỀU KHOẢN CƠ BẢN,4,Trách nhiệm phòng ngừa và đấu tranh chống tội phạm,,3.0,"Mọi công dân có nghĩa vụ tích cực tham gia phòng, chống tội phạm.",,,4,4_3.0,
Phần thứ nhất - NHỮNG QUY ĐỊNH CHUNG,Chương II - HIỆU LỰC CỦA BỘ LUẬT HÌNH SỰ,5,Hiệu lực của Bộ luật hình sự đối với những hành vi phạm tội trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam,,1.0,"Bộ luật hình sự được áp dụng đối với mọi hành vi phạm tội thực hiện trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam. Quy định này cũng được áp dụng đối với hành vi phạm tội hoặc hậu quả của hành vi phạm tội xảy ra trên tàu bay, tàu biển mang quốc tịch Việt Nam hoặc tại vùng đặc quyền kinh tế, thềm lục địa của Việt Nam.",,,5,5_1.0,
